Country,Year,Employment,Employment females,Employment females as % of employment,Employment in agriculture,Employment in agriculture as % of employment,"Employment in agriculture, index",Employment in industry,Employment in industry as % of employment,"Employment in industry, index",Employment in services,Employment in services as % of employment,"Employment in services, index",Employment males,Employment males as % of employment,"Employment, index",Females self-employment % fem employment,Females unemployment % of fem lab force,Labour force,Labour force females,Labour force males,"Labour force, index",Males self-employment % mal employment,Males unemployment % of mal lab force,Rate of Unemployment as % of Labour Force,Self-employment,Self-employment % of employment,Unemployment,"Unemployment females , (‘000)","Unemployment males , (‘000)"
Ireland,2014,1988.775,911.4,45.82721,108.05,5.432992,98.72088,343.525,17.2732,92.47594,1537.2,77.29381,97.51177,1077.4,54.17405,96.66683,8.281216,10.87741,2256.325,1022.6,1233.725,98.80669,24.01847,12.67496,11.85948,334.25,16.80683,267.525,111.225,156.325
Ireland,2015,2057.35,941,45.73845,109.45,5.319951,100,371.475,18.05599,100,1576.425,76.62405,100,1116.35,54.26155,100,8.38204,8.908971,2283.575,1033.05,1250.525,100,23.31034,10.73452,9.909575,339.1,16.48237,226.225,92,134.2
Ireland,2016,2132.25,979.1,45.91863,112.325,5.26791,102.6268,394.325,18.49338,106.1512,1625.6,76.23872,103.1194,1153.125,54.0802,103.6406,8.52058,7.597966,2327.125,1059.6,1267.525,101.9071,22.78591,9.023996,8.37511,346.1,16.23168,194.875,80.525,114.35
Ireland,2017,2194.15,1007.625,45.92325,110.375,5.030422,100.8451,411.975,18.77606,110.9025,1671.8,76.19351,106.0501,1186.475,54.07447,106.6493,7.897283,6.295649,2352,1075.325,1276.7,102.9964,21.85676,7.067681,6.71373,338.95,15.4479,157.85,67.675,90.2
Ireland,2018,2257.55,1036.25,45.90153,107.325,4.754047,98.05847,423.2,18.74599,113.9242,1727.025,76.49997,109.5533,1221.275,54.09736,109.731,7.949337,5.689196,2395.025,1098.775,1296.225,104.8805,21.0272,5.782411,5.738596,339.175,15.02403,137.45,62.525,74.95
Israel,2005,2493.65,1153.725,46.26652,50.09,2.008702,134.2176,534.16,21.42081,84.263,1909.4,76.57049,64.23419,1339.925,53.73348,68.43542,8.22813,9.526857,2740.075,1275.275,1464.825,71.25005,17.38008,8.522532,8.989903,327.81,13.14579,246.425,121.525,124.9
Israel,2006,2573.575,1189.975,46.23821,45.53,1.769134,121.9989,547.79,21.28518,86.41311,1980.255,76.94569,66.61783,1383.65,53.76373,70.62888,8.610265,8.990445,2809.725,1307.575,1502.15,73.06116,17.11126,7.894873,8.403837,339.22,13.18089,236.125,117.575,118.575
Israel,2007,2681.975,1240.125,46.23925,43.42,1.618956,116.3451,581.53,21.6829,91.73555,2057.025,76.69814,69.20045,1441.875,53.76169,73.60379,8.252394,7.944839,2893.8,1347.075,1546.675,75.24735,16.56177,6.774822,7.318558,341.14,12.71973,211.8,107.025,104.8
Israel,2008,2776.7,1287.575,46.37069,47.94,1.72651,128.4566,597.27,21.51007,94.21851,2131.49,76.76343,71.70554,1489.1,53.62841,76.20341,8.03293,6.503122,2957.025,1377.175,1579.875,76.89139,16.73091,5.746941,6.099141,352.57,12.69745,180.4,89.6,90.8
Israel,2009,2841,1338.725,47.12161,47.97,1.68849,128.537,570.21,20.07075,89.94984,2222.82,78.24076,74.77797,1502.25,52.87751,77.96806,8.20258,7.538583,3072.85,1447.875,1624.975,79.90318,17.03045,7.549529,7.544086,365.65,12.87047,231.85,109.15,122.7
Israel,2010,2938.25,1386.475,47.1871,47.81,1.627159,128.1082,587.15,19.98298,92.6221,2303.29,78.38985,77.48506,1551.775,52.8129,80.63697,8.019618,6.493265,3147.125,1482.775,1664.35,81.83455,16.98055,6.764515,6.636595,374.69,12.75215,208.875,96.35,112.55
Israel,2011,3024.675,1420.775,46.97282,42.56,1.407093,114.0407,595.13,19.67583,93.88093,2386.985,78.91708,80.30065,1603.9,53.02718,83.00881,8.329961,5.618898,3204.2,1505.375,1698.85,83.31867,16.47671,5.589631,5.602376,382.61,12.64962,179.525,84.6,94.925
Israel,2012,3358.975,1570.742,46.76253,51.47,1.532313,137.9153,585.29,17.42466,92.32868,2722.215,81.04303,91.57813,1788.233,53.23747,92.1833,8.721357,6.958333,3606.025,1688.242,1917.783,93.76731,16.18189,6.75,6.85,426.36,12.69316,247.0417,117.5083,129.5417
Israel,2013,3449.517,1614.383,46.80028,43.1,1.24945,115.4877,608.95,17.6532,96.06102,2797.467,81.09735,94.10968,1835.142,53.19997,94.66811,8.964414,6.258333,3677.85,1722,1955.842,95.63497,15.78407,6.191667,6.208333,434.38,12.59249,228.3333,107.6,120.725
Israel,2014,3555.767,1675.367,47.11689,40,1.124933,107.1811,622,17.49271,98.11964,2893.767,81.38235,97.34931,1880.383,52.88264,97.58402,9.115617,5.916667,3778.333,1780.775,1997.55,98.24783,15.55321,5.858333,5.908333,445.18,12.51994,222.55,105.3833,117.1583
Israel,2015,3643.8,1715.492,47.07974,37.32,1.024205,100,633.92,17.39722,100,2972.56,81.57858,100,1928.317,52.92049,100,9.024235,5.391667,3845.717,1813.258,2032.483,100,15.85165,5.116667,5.241667,460.48,12.63736,201.9333,97.76667,104.1583
Israel,2016,3736.842,1764.883,47.22928,37.71,1.009141,101.045,645.25,17.26726,101.7873,3053.882,81.7236,102.7357,1971.983,52.77139,102.5534,9.198341,4.933333,3925.175,1856.65,2068.525,102.0662,15.97377,4.658333,4.808333,477.33,12.77362,188.325,91.76667,96.56667
Israel,2017,3824.8,1805.625,47.20835,38.1,0.9961305,102.09,653.79,17.09344,103.1345,3132.91,81.91042,105.3943,2019.175,52.79165,104.9673,9.059467,4.316667,3993.1,1887.167,2105.942,103.8324,15.4365,4.125,4.216667,475.27,12.42601,168.3,81.525,86.79166
Israel,2018,3905.108,1866.508,47.79658,36.38043,0.9316114,97.48241,655.0677,16.77464,103.336,3213.66,82.29375,108.1109,2038.617,52.20385,107.1713,9.363269,3.958333,4067.717,1943.308,2124.408,105.7727,15.17867,4.041667,4,484.2011,12.39917,162.6,76.81667,85.79166
Italy,2005,22407.03,8806.35,39.30174,947.275,4.227581,112.3895,6940.125,30.97299,116.1406,14519.63,64.79943,92.79925,13600.65,60.69815,99.74304,20.5332,10.03904,24284.3,9789.6,14494.7,95.23993,30.67776,6.167791,7.728764,5980.6,26.69074,1877.275,983.25,894.025
Italy,2006,22757.6,9002.425,39.55788,981.6,4.313284,116.462,6926.6,30.43643,115.9142,14849.4,65.25029,94.90694,13755.15,60.44201,101.3036,20.41728,8.770921,24411.88,9868.275,14543.63,95.74026,30.32773,5.421643,6.775816,6009.7,26.40744,1654.3,865.825,788.45
Italy,2007,22894.43,9082.8,39.67254,923.6,4.03417,109.5806,7003.4,30.58998,117.1995,14967.42,65.37585,95.66127,13811.6,60.32735,101.9127,20.03127,7.83656,24375.32,9855.475,14519.83,95.59692,30.13499,4.878938,6.075274,5981.475,26.12634,1480.925,772.675,708.225
Italy,2008,23090.35,9270,40.14664,854.125,3.699056,101.3377,6881,29.80033,115.1511,15355.22,66.50062,98.13982,13820.35,59.85336,102.7848,19.31176,8.49502,24754.65,10130.67,14623.95,97.08458,29.57071,5.495847,6.723351,5877.025,25.4523,1664.3,860.675,803.6
Italy,2009,22698.72,9157.55,40.34389,837.725,3.690626,99.39194,6636.725,29.23832,111.0633,15224.28,67.07106,97.30287,13541.17,59.65611,101.0415,18.4913,9.21897,24605.28,10087.9,14517.38,96.49875,29.35399,6.724587,7.747658,5668.25,24.97167,1906.55,930.325,976.225
Italy,2010,22526.85,9152.3,40.62841,849.125,3.769391,100.7445,6444.525,28.60819,107.8469,15233.2,67.62241,97.35992,13374.55,59.37159,100.2764,18.53332,9.593429,24582.57,10124,14458.55,96.40972,29.89278,7.494904,8.359172,5694.275,25.27772,2055.725,971.7,1084.025
Italy,2011,22598.22,9258.1,40.96826,831.925,3.681373,98.7038,6392.75,28.28873,106.9804,15373.55,68.0299,98.25694,13340.15,59.03185,100.5942,18.28183,9.535327,24659.53,10234.92,14424.6,96.71151,29.7283,7.515498,8.353756,5658.425,25.03925,2061.3,976.825,1084.475
Italy,2012,22565.95,9372.4,41.53337,833.425,3.693286,98.88177,6224.225,27.58237,104.1602,15508.3,68.72434,99.11816,13193.58,58.46674,100.4505,18.32828,11.82097,25256.97,10629.4,14627.58,99.05463,29.58258,9.801465,10.65126,5620.775,24.90821,2691.025,1257.025,1434
Italy,2013,22190.53,9276.15,41.8023,799.15,3.601312,94.81521,6001.825,27.04679,100.4384,15389.55,69.3519,98.35919,12914.38,58.1977,98.77931,18.25218,13.05884,25259.2,10670.45,14588.75,99.06336,29.54053,11.4761,12.14521,5508.05,24.82163,3068.675,1394.3,1674.375
Italy,2014,22278.93,9333.65,41.89453,811.75,3.643578,96.31013,5993.425,26.90177,100.2979,15473.75,69.45465,98.89734,12945.28,58.10547,99.17281,18.45955,13.79063,25514.9,10827.67,14687.28,100.0662,29.16721,11.8602,12.6798,5498.725,24.68129,3236,1494.025,1742
Italy,2015,22464.75,9380.175,41.75508,842.85,3.751878,100,5975.625,26.60001,100,15646.28,69.64812,100,13084.58,58.24492,100,18.32402,12.68686,25498.03,10744.03,14754,100,28.72333,11.31651,11.89388,5477.125,24.38097,3033.25,1363.85,1669.4
Italy,2016,22757.85,9524.675,41.85226,883.975,3.884264,104.8793,5944.875,26.1223,99.48541,15929,69.99343,101.807,13233.17,58.14774,101.3047,18.08356,12.77181,25769.88,10919.6,14850.3,101.0662,28.14895,10.89056,11.68803,5447.4,23.93636,3012.025,1394.9,1617.125
Italy,2017,23022.95,9673.725,42.01775,871.225,3.784159,103.3666,5986.375,26.00177,100.1799,16165.35,70.21407,103.3176,13349.22,57.98225,102.4848,17.01232,12.38664,25929.85,11041.35,14888.53,101.6936,27.68925,10.33921,11.21117,5342.025,23.20304,2906.9,1367.6,1539.25
Italy,2018,23214.95,9768.325,42.07774,872.35,3.757708,103.5,6059.775,26.1029,101.4082,16282.83,70.1394,104.0684,13446.65,57.92237,103.3395,16.92639,11.76774,25970.43,11071.85,14898.55,101.8527,27.26274,9.745541,10.60792,5319.325,22.91336,2755.475,1303.55,1451.9
Japan,2005,63561.67,26334.17,41.43089,2827.5,4.448436,135.3951,17493.33,27.52183,111.4521,43240.83,68.02973,93.53246,37227.5,58.56911,99.29183,14.8856,4.225,66505.84,27497.5,39008.33,100.39,14.53227,4.566667,4.425,9320,14.66293,2944.167,1161.667,1780
Japan,2006,63887.5,26545,41.5496,2718.333,4.254875,130.1676,17585.83,27.52625,112.0414,43583.33,68.21887,94.2733,37344.17,58.45301,99.80083,13.63722,3.85,66638.34,27612.5,39027.5,100.59,13.8442,4.325,4.141667,8800,13.77421,2750.833,1068.333,1682.5
Japan,2007,64275,26650,41.46247,2719.167,4.23052,130.2075,17535,27.28121,111.7175,44020.83,68.48827,95.21964,37630,58.54531,100.4062,13.09569,3.725,66843.34,27679.17,39167.5,100.8994,13.52644,3.941667,3.841667,8580,13.34889,2568.333,1031.667,1536.667
Japan,2008,64091.67,26643.33,41.57067,2687.5,4.193213,128.6911,17159.17,26.77285,109.3231,44245,69.03394,95.70453,37453.33,58.43713,100.1198,12.38584,3.85,66740,27707.5,39041.67,100.7434,13.32325,4.066667,3.991667,8310,12.9658,2650,1070,1588.333
Japan,2009,63145,26495,41.95898,2623.333,4.154459,125.6185,16268.33,25.76345,103.6475,44253.33,70.08208,95.72255,36656.67,58.05157,98.64095,11.92678,4.783333,66500,27820.83,38688.33,100.3811,13.12176,5.275,5.066667,7960,12.60591,3355.833,1336.667,2030
Japan,2010,62981.67,26562.5,42.17497,2526.667,4.011749,120.9896,15839.17,25.14885,100.9132,44615.83,70.8394,96.50666,36432.5,57.8462,98.3858,11.33177,4.583333,66317.5,27828.33,38501.67,100.1057,12.81823,5.4,5.05,7680,12.19403,3335.833,1275,2071.667
Japan,2011,62934.17,26544.17,42.17767,2290.833,3.640047,109.6967,15389.17,24.4528,98.04619,45254.17,71.90715,97.88741,36390,57.82233,98.31159,10.36009,4.166667,65955,27700,38246.67,99.55847,11.92635,4.875,4.583333,7090,11.26574,3018.333,1152.5,1866.667
Japan,2012,62796.67,26577.5,42.3231,2243.333,3.572376,107.4222,15695,24.99336,99.99469,44858.33,71.43426,97.0312,36224.17,57.68486,98.0968,10.72336,4.025,65651.66,27693.33,37955.83,99.10059,12.53307,4.558333,4.35,7390,11.76814,2847.5,1115.833,1731.667
Japan,2013,63265.83,27068.33,42.78507,2180,3.445778,104.3895,15721.67,24.85017,100.1646,45364.17,71.70406,98.12535,36203.33,57.22415,98.8297,10.38113,3.666667,65927.5,28095,37827.5,99.51696,12.34693,4.316667,4.025,7280,11.507,2650.833,1035,1633.333
Japan,2014,63711.67,27367.5,42.95524,2099.167,3.294792,100.5188,15793.33,24.78876,100.6212,45819.17,71.91644,99.10954,36351.67,57.05653,99.52615,10.19457,3.358333,66087.5,28317.5,37765,99.75848,12.26904,3.75,3.591667,7240,11.3637,2359.167,958.3333,1421.667
Japan,2015,64015,27637.5,43.17347,2088.333,3.262256,100,15695.83,24.51899,100,46230.83,72.21875,100,36387.5,56.84215,100,9.69697,3.091667,66247.5,28515.83,37728.33,100,12.00962,3.566667,3.375,7050,11.01304,2219.167,885.8333,1346.667
Japan,2016,64649.17,28100.83,43.46666,2030,3.140025,97.2067,15680.83,24.25528,99.90443,46938.33,72.6047,101.5304,36550,56.53592,100.9907,9.11005,2.833333,66730.84,28919.17,37810.83,100.7296,11.60055,3.341667,3.116667,6800,10.51831,2080,819.1667,1259.167
Japan,2017,65305.83,28590,43.77863,2010,3.077826,96.249,15823.33,24.22959,100.8123,47472.5,72.69259,102.6858,36715,56.22009,102.0165,8.884225,2.641667,67201.66,29367.5,37837.5,101.4403,11.57565,2.958333,2.808333,6790,10.39723,1895.833,776.6667,1120.833
Japan,2018,66635.84,29463.33,44.21545,2100.833,3.152708,100.5986,15940.83,23.92231,101.5609,48594.17,72.92498,105.112,37174.17,55.78705,104.0941,8.722706,2.241667,68301.66,30136.67,38165.83,103.1007,11.54027,2.583333,2.441667,6860,10.29476,1665,673.3333,991.6667
Korea,2005,22831.04,9508.175,41.64582,1816.917,7.958098,135.8544,6085.925,26.65636,91.43494,14928.2,65.38554,82.09401,13322.88,58.35421,87.21564,32.79292,3.408333,23718.32,9842.366,13875.95,87.34924,33.97571,3.991667,3.75,7644.733,33.48394,887.2667,334.2,553.0833
Korea,2006,23188.07,9707.191,41.86288,1773.467,7.648187,132.6056,6062.4,26.14448,91.0815,15352.2,66.20733,84.42569,13480.88,58.13712,88.57949,32.09502,2.95,24023.77,10002.5,14021.25,88.47414,33.11389,3.875,3.475,7579.692,32.6879,835.725,295.325,540.375
Korea,2007,23561.11,9849.408,41.80367,1719.958,7.299989,128.6046,6074.317,25.78112,91.26054,15766.83,66.91889,86.70586,13711.7,58.19633,90.00453,31.07539,2.641667,24351.38,10117.7,14233.63,89.68065,32.13217,3.675,3.258333,7466.642,31.69054,790.2333,268.3083,521.9417
Korea,2008,23774.82,9940.191,41.80975,1698.25,7.143063,126.9815,6015.325,25.30125,90.37424,16061.24,67.55569,88.3249,13834.64,58.19032,90.82091,30.36436,2.625,24550.63,10206.53,14344.08,90.41447,31.80103,3.558333,3.175,7417.95,31.20087,775.7917,266.35,509.4333
Korea,2009,23687.61,9847.358,41.57177,1659.55,7.005984,124.0878,5801.475,24.4916,87.16136,16226.58,68.50241,89.23415,13840.26,58.42826,90.48776,28.80409,3.008333,24581.86,10152.62,14429.22,90.52946,30.81716,4.083333,3.633333,7101.667,29.98051,894.2416,305.275,588.9916
Korea,2010,24032.81,9991.608,41.57487,1586.283,6.600491,118.6095,6010.983,25.01157,90.30902,16435.54,68.38794,90.38326,14041.18,58.42506,91.80644,27.09882,3.341667,24956.43,10334.85,14621.58,91.90894,30.01361,3.975,3.708333,6921.942,28.80205,923.6334,343.2583,580.4
Korea,2011,24526.44,10193.15,41.55984,1562.708,6.371525,116.8467,6092.075,24.8388,91.52734,16871.66,68.78967,92.78159,14333.29,58.44016,93.69215,26.45715,3.125,25389,10519.68,14869.33,93.50199,29.53642,3.608333,3.408333,6930.4,28.25685,862.5417,326.525,536.0167
Korea,2012,24954.79,10386.54,41.62143,1530.467,6.132957,114.436,6131.067,24.5687,92.11315,17293.26,69.29835,95.10007,14568.23,58.3785,95.32847,25.99397,2.958333,25780.84,10703.69,15077.16,94.94505,29.75012,3.383333,3.225,7034.133,28.18751,826.0667,317.15,508.925
Korea,2013,25299.36,10554.38,41.71796,1513.083,5.980718,113.1362,6269.258,24.78031,94.18934,17517.02,69.23898,96.33057,14745.01,58.28214,96.64473,25.31296,2.833333,26107.58,10862.4,15245.18,96.14837,28.90928,3.275,3.1,6934.417,27.40946,808.2083,308.0417,500.1667
Korea,2014,25897.21,10839.94,41.85757,1446.083,5.583935,108.1265,6474.367,25.00025,97.27089,17976.76,69.41582,98.85881,15057.28,58.14249,98.92854,24.59907,3.475,26835.7,11228.52,15607.17,98.82986,28.37353,3.516667,3.491667,6938.667,26.79311,938.475,388.5667,549.9083
Korea,2015,26177.69,11021.72,42.1035,1337.4,5.10893,100,6656.017,25.42629,100,18184.28,69.46478,100,15155.99,57.8966,100,23.60542,3.541667,27153.43,11425.58,15727.85,100,27.53801,3.65,3.591667,6775.575,25.88301,975.7333,403.8667,571.875
Korea,2016,26409.11,11167.92,42.28812,1272.492,4.818382,95.14668,6660.792,25.22157,100.0717,18475.82,69.96004,101.6033,15241.17,57.71181,100.884,22.79297,3.583333,27418.33,11582.77,15835.58,100.9756,27.51653,3.75,3.675,6739.833,25.52087,1009.233,414.8333,594.3917
Korea,2017,26724.83,11356.43,42.49393,1278.633,4.784439,95.6059,6763.7,25.30867,101.6178,18682.5,69.90689,102.7399,15368.42,57.50613,102.0901,22.83962,3.533333,27747.71,11772.46,15975.26,102.1886,27.31034,3.8,3.683333,6790.983,25.41076,1022.875,416.025,606.8333
Korea,2018,26822.07,11450.08,42.68904,1340.167,4.996508,100.2069,6759.783,25.20232,101.559,18722.12,69.80117,102.9577,15371.98,57.31096,102.4615,22.63957,3.733333,27895.33,11893.19,16002.13,102.7323,26.97212,3.941667,3.833333,6738.567,25.12322,1073.25,443.1083,630.1417
Latvia,2005,972.35,475.625,48.915,,,,,,,,,,496.7,51.08243,108.5121,9.787122,9.9882,1080.8,528.325,552.475,108.7078,13.0914,10.09311,10.03827,111.55,11.47221,108.425,52.675,55.75
Latvia,2006,1030.925,505.2,49.00454,,,,,,,,,,525.7,50.99304,115.049,,6.759925,1108.9,541.7,567.175,111.5341,,7.320947,7.043975,120.2,11.65943,77.975,36.525,41.45
Latvia,2007,1057.45,517.275,48.91721,,,,,,,,,,540.15,51.08043,118.0091,8.912087,5.575096,1125.5,547.75,577.775,113.2038,12.94548,6.521369,6.063879,116,10.96979,68.125,30.5,37.6
Latvia,2008,1054.925,523.575,49.63149,83.925,7.955542,118.038,312.05,29.5803,144.4676,658.95,62.46416,108.2064,531.375,50.37088,117.7273,7.501313,7.077551,1143.4,563.475,579.975,115.0042,12.95695,8.379224,7.739463,108.125,10.24954,88.475,39.875,48.6
Latvia,2009,908.5,473.5,52.11888,79.475,8.747936,111.7792,222.775,24.52119,103.1366,606.25,66.73087,99.55253,435,47.88112,101.3866,,14.17668,1101.4,551.45,549.95,110.7798,14.53448,20.94595,17.55346,104.7,11.52449,192.9,77.975,114.95
Latvia,2010,850.675,448.1,52.67582,73.275,8.613748,103.0591,196.975,23.15514,91.19213,580.425,68.23111,95.3118,402.6,47.32712,94.93346,,16.30377,1056.5,535.4,521.125,106.2637,,22.74191,19.48375,97.75,11.49088,205.85,87.3,118.55
Latvia,2011,861.575,445.4,51.69602,76.625,8.893596,107.7707,199.2,23.12045,92.22222,585.75,67.98595,96.18622,416.15,48.30107,96.14988,,13.80467,1028.225,516.7,511.5,103.4197,,18.63959,16.21216,97.7,11.3397,166.65,71.3,95.325
Latvia,2012,875.625,447.4,51.09493,73.275,8.368308,103.0591,207.25,23.66881,95.94907,595.1,67.96288,97.72158,428.225,48.90507,97.71783,,13.95567,1030.725,519.95,510.8,103.6712,,16.1723,15.0552,99.55,11.36902,155.1,72.55,82.55
Latvia,2013,893.875,453.275,50.70899,71.975,8.052021,101.2307,214.275,23.97147,99.20139,607.625,67.97651,99.77831,440.6,49.29101,99.75449,,11.13739,1014.25,510.125,504.125,102.0141,,12.60278,11.8683,103.275,11.55363,120.375,56.825,63.525
Latvia,2014,884.65,446.175,50.4352,66.35,7.500141,93.31927,213.1,24.08862,98.65741,605.2,68.41124,99.3801,438.45,49.56197,98.725,,9.839178,992.25,494.85,497.4,99.80135,,11.84735,10.84309,102.1,11.54129,107.625,48.675,58.925
Latvia,2015,896.075,452.15,50.45895,71.1,7.934604,100,216,24.10513,100,608.975,67.96027,100,443.925,49.54105,100,,8.646648,994.225,494.875,499.325,100,,11.09469,9.875636,113.525,12.66914,98.175,42.775,55.4
Latvia,2016,893.275,455.075,50.94456,68.65,7.685204,96.55415,217.5,24.3486,100.6944,607.125,67.96619,99.69621,438.2,49.05544,99.68752,,8.401314,988.625,496.8,491.8,99.43674,,10.89782,9.641258,115,12.87397,95.325,41.75,53.6
Latvia,2017,894.825,453.85,50.71941,61.425,6.86447,86.3924,210.25,23.49621,97.33796,623.15,69.63931,102.3277,440.975,49.28059,99.8605,,7.678624,980.25,491.625,488.625,98.59438,,9.760711,8.716354,113.275,12.6589,85.425,37.75,47.675
Latvia,2018,909.375,460.775,50.66941,63.3,6.960825,89.02953,215.4,23.6866,99.72222,630.675,69.35258,103.5634,448.6,49.33059,101.4843,,6.418394,982.175,492.375,489.8,98.788,,8.411898,7.415344,104.675,11.51065,72.825,31.6,41.2
Lithuania,2005,1434.45,702.725,48.98916,,,,,,,,,,731.725,51.01084,107.4555,14.80665,8.53275,1564.7,768.275,796.4,106.5237,19.41645,8.123219,8.32191,246.15,17.15989,130.25,65.575,64.7
Lithuania,2006,1428.95,708.8,49.60286,,,,,,,,,,720.15,50.39714,107.0435,14.89137,5.611635,1516.575,750.925,765.675,103.2474,19.05506,5.939552,5.778923,242.8,16.9915,87.675,42.15,45.525
Lithuania,2007,1451.575,715.3,49.27751,,,,,,,,,,736.25,50.72077,108.7383,11.68041,4.325325,1515.975,747.675,768.3,103.2065,17.37182,4.176983,4.254303,211.45,14.56694,64.45,32.35,32.05
Lithuania,2008,1427.1,706.9,49.53402,115.1,8.065308,95.06504,437.325,30.64431,129.4819,874.675,61.29038,99.83735,720.225,50.46773,106.9049,8.926298,5.608017,1515.4,749.075,766.375,103.1674,14.38092,6.013134,5.812195,166.675,11.67928,88.275,42.175,46.125
Lithuania,2009,1317.4,687.225,52.16525,118.35,8.983604,97.74933,355.775,27.00584,105.3368,843.275,64.01055,96.25328,630.175,47.83475,98.68719,9.349195,10.51671,1528.075,768.05,760.025,104.0303,,17.08491,13.78231,157.8,11.97814,210.65,80.8,129.85
Lithuania,2010,1247.65,656.875,52.64898,110.175,8.830602,90.99731,308.625,24.73651,91.37675,828.85,66.43289,94.60678,590.775,47.35102,93.46218,8.803044,14.50894,1518.075,768.475,749.65,103.3495,13.18607,21.21334,17.81879,135.675,10.87444,270.425,111.575,158.875
Lithuania,2011,1253.625,649.8,51.83368,106.4,8.487387,87.87941,310.425,24.76219,91.9097,836.8,66.75043,95.51421,603.8,48.16432,93.90977,8.752693,12.90898,1481.65,746.1,735.5,100.8697,12.55797,17.89218,15.38251,132.75,10.58929,228.025,96.325,131.725
Lithuania,2012,1275.725,658.15,51.59027,112.225,8.796959,92.69048,322.85,25.30718,95.58846,840.65,65.89587,95.95366,617.575,48.40973,95.56529,8.94173,11.57378,1472.55,744.275,728.225,100.2502,13.30203,15.20053,13.36761,141,11.05254,196.8,86.125,110.65
Lithuania,2013,1292.775,656.7,50.7977,108.9,8.423739,89.94425,331.85,25.66959,98.25314,852.025,65.90668,97.25203,636.1,49.20423,96.84252,9.661946,10.48002,1465.225,733.55,731.7,99.75151,,13.07549,11.77156,152.2,11.77312,172.45,76.875,95.625
Lithuania,2014,1319.025,671.9,50.93914,120.9,9.165861,99.85546,327.35,24.81757,96.9208,870.775,66.01656,99.39219,647.125,49.06086,98.80892,10.24334,9.221522,1477.05,740.15,736.875,100.5565,14.03516,12.18168,10.69969,159.625,12.10174,158.025,68.25,89.75
Lithuania,2015,1334.925,680.85,51.00286,121.075,9.069798,100,337.75,25.30105,100,876.1,65.62916,100,654.075,48.99714,100,10.02791,8.166261,1468.875,741.35,727.55,100,14.60459,10.0963,9.119895,163.8,12.27035,133.95,60.525,73.475
Lithuania,2016,1361.4,698.375,51.29829,108.55,7.97341,89.65517,344.65,25.31585,102.0429,908.2,66.71074,103.664,662.975,48.69803,101.9833,9.536424,6.652481,1477.55,748.15,729.375,100.5906,,9.104442,7.860914,167.925,12.33473,116.15,49.775,66.4
Lithuania,2017,1354.8,694.825,51.28617,105.45,7.783437,87.09477,343.05,25.32108,101.5692,906.3,66.89548,103.4471,659.975,48.71383,101.4888,9.383657,5.678053,1457.925,736.65,721.3,99.25453,,8.495442,7.07182,162.7,12.00915,103.125,41.825,61.3
Lithuania,2018,1374.725,695.675,50.60467,98.725,7.181436,81.54037,356.4,25.92518,105.5218,919.6,66.89338,104.9652,679.075,49.39715,102.9814,9.170949,5.409909,1464.75,735.45,729.325,99.71917,,6.895273,6.152077,160.375,11.66597,90.05,39.775,50.25
Luxembourg,2005,193.6,81,41.83884,3.4,1.756198,,33.4,17.25207,124.5107,156.8,80.99174,,112.6,58.16116,75.19907,,5.813953,202.7,86,116.7,73.4753,,3.513282,4.489393,15.5,8.006198,9.1,5,4.1
Luxembourg,2006,195.3,84.3,43.16436,3.6,1.843318,,32.6,16.69227,121.5284,159.1,81.46442,,111.1,56.88684,75.85939,,6.229144,205,89.9,115.1,74.30901,,3.56212,4.731707,,,9.7,5.6,4.1
Luxembourg,2007,202.9,89.2,43.96254,3.75,1.848201,,34.3,16.90488,127.8658,164.85,81.24692,,113.725,56.04978,78.81142,,4.712165,211.475,93.575,117.925,76.6561,,3.557966,4.066088,,,8.6,4.425,4.2
Luxembourg,2008,202.375,86.875,42.92773,3.35,1.655343,,28.575,14.11983,106.5238,170.45,84.22483,,115.5,57.07227,78.6075,,6.030361,213.15,92.45,120.7,77.26325,,4.313225,5.050495,,,10.775,5.575,5.225
Luxembourg,2009,217.2,93.05,42.8407,2.875,1.323665,,25.75,11.85543,95.99255,188.575,86.8209,,124.125,57.14779,84.3659,,6.101851,228.9,99.125,129.775,82.97236,,4.375322,5.111732,,,11.7,6.05,5.675
Luxembourg,2010,220.8,95.8,43.38768,2.325,1.052989,,26.45,11.97917,98.60205,192.025,86.96784,,125.025,56.62364,85.76423,,5.096447,230.9,100.925,129.925,83.69733,,3.789818,4.351644,,,10.05,5.15,4.925
Luxembourg,2011,224.775,97.425,43.34334,2.675,1.190079,,27.575,12.26782,102.7959,194.525,86.5421,,127.3,56.63441,87.30821,,6.245375,236.325,103.975,132.4,85.6638,,3.855546,4.896927,,,11.575,6.5,5.1
Luxembourg,2012,236.075,104.075,44.08557,3.075,1.302552,,27.3,11.56412,101.7707,205.7,87.13332,,132,55.91443,91.69742,,5.88744,248.875,110.575,138.275,90.21296,,4.517344,5.138287,,,12.8,6.525,6.25
Luxembourg,2013,238.725,105.15,44.0465,3.675,1.539428,,25.5,10.68175,95.06058,209.55,87.77882,,133.525,55.93256,92.72675,,6.386167,253.55,112.325,141.175,91.90757,,5.438151,5.836521,,,14.8,7.175,7.675
Luxembourg,2014,245.625,109.625,44.63104,3.45,1.40458,,24.4,9.933843,90.95992,217.775,88.66158,,136,55.36896,95.40688,,5.76033,260.9,116.35,144.55,94.57182,,5.920048,5.854882,,,15.275,6.7,8.575
